2026-05-18 02:06:18.237 | 2026-05-18 02:06:18 | vh | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 4ms
2026-05-18 02:06:18.237 | 2026-05-18 02:06:18 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 0ms
2026-05-18 02:06:18.326 | 2026-05-18 02:06:18 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 93ms
2026-05-18 02:06:18.624 | 2026-05-18 02:06:18 | unknown | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 02:06:18.626 | 2026-05-18 02:06:18 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 0ms
2026-05-18 02:06:18.626 | 2026-05-18 02:06:18 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 3ms
2026-05-18 02:06:18.629 | 2026-05-18 02:06:18 | vh | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 3ms
2026-05-18 02:06:18.630 | 2026-05-18 02:06:18 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 02:06:18.717 | 2026-05-18 02:06:18 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 91ms
2026-05-18 02:06:20.412 | 2026-05-18 02:06:20 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 38ms
2026-05-18 02:06:24.840 | 2026-05-18 02:06:24 | unknown | 科目管理 | 查询科目辅助核算 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 4ms
2026-05-18 02:06:24.856 | 2026-05-18 02:06:24 | unknown | 辅助核算 | 查询辅助核算选项 | 失败 | 错误: 非法的辅助核算表名: sys_money_resource | IP: 0:0:0:0:0:0:0:1 | 耗时: 0ms
2026-05-18 02:06:24.856 | 2026-05-18 02:06:24 | unknown | 辅助核算 | 查询辅助核算选项 | 失败 | 错误: 非法的辅助核算表名: dict_rylb_acct | IP: 0:0:0:0:0:0:0:1 | 耗时: 0ms
2026-05-18 02:06:24.858 | 2026-05-18 02:06:24 | unknown | 辅助核算 | 查询辅助核算选项 | 失败 | 错误: 非法的辅助核算表名: dict_addpay_acct | IP: 0:0:0:0:0:0:0:1 | 耗时: 0ms
2026-05-18 02:06:24.858 | 2026-05-18 02:06:24 | unknown | 辅助核算 | 查询辅助核算选项 | 失败 | 错误: PreparedStatementCallback; SQL [SELECT dept_id AS id, dept_code AS code, dept_name AS name FROM sys_dept WHERE 1=1 AND is_stop = '0']; 索引 1 超出范围。 | IP: 0:0:0:0:0:0:0:1 | 耗时: 2ms
2026-05-18 02:06:45.000 | 2026-05-18 02:06:45 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 39ms
2026-05-18 02:09:36.208 | 2026-05-18 02:09:36 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 41ms
2026-05-18 02:09:36.510 | 2026-05-18 02:09:36 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 36ms
2026-05-18 02:09:38.035 | 2026-05-18 02:09:38 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 42ms
2026-05-18 02:09:40.313 | 2026-05-18 02:09:40 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 39ms
2026-05-18 02:09:42.255 | 2026-05-18 02:09:42 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 39ms
2026-05-18 02:09:43.803 | 2026-05-18 02:09:43 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 42ms
2026-05-18 02:09:55.418 | 2026-05-18 02:09:55 | unknown | 科目管理 | 查询科目辅助核算 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 5ms
2026-05-18 02:09:55.437 | 2026-05-18 02:09:55 | unknown | 辅助核算 | 查询辅助核算选项 | 失败 | 错误: 非法的辅助核算表名: dict_rylb_acct | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 02:09:55.437 | 2026-05-18 02:09:55 | unknown | 辅助核算 | 查询辅助核算选项 | 失败 | 错误: 非法的辅助核算表名: sys_money_resource | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 02:09:55.438 | 2026-05-18 02:09:55 | unknown | 辅助核算 | 查询辅助核算选项 | 失败 | 错误: PreparedStatementCallback; SQL [SELECT dept_id AS id, dept_code AS code, dept_name AS name FROM sys_dept WHERE 1=1 AND is_stop = '0']; 索引 1 超出范围。 | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 02:09:57.756 | 2026-05-18 02:09:57 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 42ms
